val,meas,response,concentration
0.4737815632956263,BGE,negative,0.1
0.47231512700457684,BGE,positive,0.1
0.48578345162089737,BGE,positive,0.1
0.47744295920413243,BGE,positive,0.1
0.47365672679229043,BGE,positive,0.1
0.42669044515280335,BGE,positive,0.1
0.39317427703525587,BGE,negative,0.1
0.4382304536567015,BGE,positive,0.1
0.4411733665413376,BGE,positive,0.1
0.41922921101109883,BGE,positive,0.1
0.44374165336724086,BGE,positive,0.1
0.39964085717116915,BGE,positive,0.1
0.0,BGE,positive,0.1
0.3964323576077236,BGE,positive,0.1
0.0,BGE,negative,0.1
0.0,BGE,negative,0.1
0.0,BGE,negative,0.1
0.4108051441738827,BGE,positive,0.1
0.40986089333545217,BGE,positive,0.1
0.4377270837556786,BGE,positive,0.1
0.44464311863917977,BGE,negative,0.1
0.44444680870821296,BGE,positive,0.1
0.4262275942511957,BGE,positive,0.1
0.44273881845155816,BGE,negative,0.1
0.4215012376777648,BGE,positive,0.1
0.444273534099464,BGE,positive,0.1
0.42201709741894033,BGE,negative,0.1
0.41924799619980124,BGE,negative,0.1
0.11827913487960269,BGE,positive,0.1
0.0,BGE,positive,0.1
0.4471915404371387,BGE,positive,0.1
0.42000569428117035,BGE,positive,0.1
0.0,BGE,positive,0.1
0.4126401645439811,BGE,negative,0.1
0.4394595390848327,BGE,positive,0.1
0.44064489583722843,BGE,positive,0.1
0.43689060567475435,BGE,positive,0.1
0.45333886090239656,BGE,positive,0.1
0.4175678095014623,BGE,positive,0.1
0.0,BGE,positive,0.1
0.4211154012330247,BGE,positive,0.1
0.0,BGE,negative,0.1
0.0,BGE,negative,0.1
0.0,BGE,negative,0.1
0.42578460051767575,BGE,positive,0.1
0.0,BGE,positive,0.1
0.44448236693210114,BGE,positive,0.1
0.4494221884355921,BGE,negative,0.1
0.0,BGE,positive,0.1
0.0,BGE,positive,0.1
0.4541383245827828,BGE,negative,0.1
0.4233084969083781,BGE,positive,0.1
0.45290948261347225,BGE,positive,0.1
0.0,BGE,negative,0.1
0.4237018051550656,BGE,negative,0.1
0.0,BGE,positive,0.1
0.0,BGE,positive,0.1
0.4546040845555891,BGE,positive,0.1
0.4268451074093626,BGE,positive,0.1
0.027559429170376834,r,positive,1.0e-7
0.0011002112085603721,r,negative,1.0e-7
0.044379960969963356,r,positive,1.0e-7
0.044277307012217035,r,positive,1.0e-7
0.03684048433213666,r,positive,1.0e-7
0.015230403365671972,r,positive,1.0e-7
0.0029553503969845948,r,positive,1.0e-7
0.005973755821229087,r,positive,1.0e-7
0.005434563395267752,r,positive,1.0e-7
0.002392896095808844,r,negative,1.0e-7
0.0036943793578140915,r,negative,1.0e-7
0.0020957473078755577,r,negative,1.0e-7
0.003567668848793004,r,positive,1.0e-7
0.004280848786521064,r,positive,1.0e-7
0.03867927160469329,r,positive,1.0e-7
0.026333058589120988,r,negative,1.0e-7
0.031613980021570974,r,positive,1.0e-7
0.01319825306989334,r,positive,1.0e-7
0.026119394658249778,r,negative,1.0e-7
0.0006806749016793923,r,positive,1.0e-7
0.0676229402206078,r,positive,1.0e-7
0.02374972069174561,r,negative,1.0e-7
0.00572295525642642,r,negative,1.0e-7
0.003300699752459899,r,positive,1.0e-7
0.0032479127450357206,r,positive,1.0e-7
0.0786210292127808,r,positive,1.0e-7
0.033043418561733276,r,positive,1.0e-7
0.00994890582305138,r,positive,1.0e-7
